DB01612: 0.0: 
DB05316: 0.5800000000000001: 
DB09030: 0.55: 
DB11584: 0.43000000000000005: 
DB11609: 0.41000000000000003: 
DB08882: 0.32999999999999996: 
DB00647: 0.55: 
DB11269: 0.51: 
DB06589: 0.5: 
DB11689: 0.43999999999999995: 
DB14754: 0.43999999999999995: 
DB06777: 0.07999999999999996: 
DB15534: 0.43999999999999995: 
DB06771: 0.18999999999999995: 
DB06605: 0.37: 
DB08916: 0.38: 
DB09071: 0.49: 
DB12364: 0.54: 
DB09075: 0.43000000000000005: 
DB11967: 0.06999999999999995: 
DB00397: 0.15000000000000002: 
DB01839: 0.38: 
DB09291: 0.49: 
DB03175: 0.55: 
DB08873: 0.49: 
DB03766: 0.39: 
DB11853: 0.22999999999999998: 
DB01440: 0.4: 
DB00339: 0.55: 
DB11936: 0.52: 
DB00947: 0.18000000000000005: 
DB00293: 0.49: 
DB01598: 0.17000000000000004: 
DB06155: 0.42000000000000004: 
DB00559: 0.47: 
DB00114: 0.6799999999999999: 
DB00320: 0.09999999999999998: 
DB00165: 0.38: 
DB11260: 0.39: 
DB01179: 0.21999999999999997: 
DB00119: 0.39: 
DB04703: 0.43000000000000005: 
DB07776: 0.51: 
DB13180: 0.51: 
DB13221: 0.52: 
DB01914: 0.21999999999999997: 
DB09088: 0.43000000000000005: 
DB14475: 0.39: 
DB00473: 0.43999999999999995: 
DB13345: 0.020000000000000018: 
DB14669: 0.09999999999999998: 
DB00790: 0.16000000000000003: 
DB08868: 0.55: 
DB14583: 0.19999999999999996: 
DB01577: 0.16000000000000003: 
DB15690: 0.12: 
DB00583: 0.48: 
DB11644: 0.38: 
DB00862: 0.36: 
DB00820: 0.41000000000000003: 
DB00139: 0.14: 
DB08896: 0.5700000000000001: 
DB14120: 0.51: 
DB05016: 0.54: 
DB14569: 0.06999999999999995: 
DB08822: 0.36: 
DB06335: 0.51: 
DB09272: 0.45999999999999996: 
DB11979: 0.30000000000000004: 
DB08905: 0.31000000000000005: 
DB01619: 0.52: 
DB08931: 0.41000000000000003: 
DB00152: 0.18000000000000005: 
DB11796: 0.27: 
DB00581: 0.20999999999999996: 
DB08897: 0.47: 
DB06203: 0.47: 
DB09042: 0.5: 
DB11274: 0.030000000000000027: 
DB09148: 0.56: 
DB09080: 0.5: 
DB11963: 0.10999999999999999: 
DB01605: 0.19999999999999996: 
DB12808: 0.55: 
DB09076: 0.24: 
DB01267: 0.39: 
DB00348: 0.5900000000000001: 
DB06608: 0.45999999999999996: 
DB05676: 0.44999999999999996: 
DB09047: 0.31999999999999995: 
DB01255: 0.54: 
DB11732: 0.56: 
DB04896: 0.43999999999999995: 
DB09054: 0.36: 
DB08865: 0.39: 
DB04871: 0.5900000000000001: 
DB12010: 0.36: 
DB00351: 0.16000000000000003: 
DB08911: 0.26: 
DB12499: 0.07999999999999996: 
DB11855: 0.5800000000000001: 
DB08941: 0.44999999999999996: 
DB14018: 0.16000000000000003: 
DB15305: 0.37: 
DB00631: 0.12: 
DB09038: 0.25: 
DB09095: 0.08999999999999997: 
DB00413: 0.65: 
DB00580: 0.15000000000000002: 
DB06119: 0.5900000000000001: 
DB11611: 0.45999999999999996: 
DB09128: 0.5700000000000001: 
DB06816: 0.54: 
DB08439: 0.5800000000000001: 
DB06151: 0.56: 
DB12377: 0.52: 
DB14761: 0.27: 
DB06775: 0.51: 
DB08944: 0.5: 
DB04953: 0.69: 
DB13139: 0.42000000000000004: 
DB00918: 0.16000000000000003: 
DB01628: 0.5800000000000001: 
DB01606: 0.21999999999999997: 
DB00317: 0.32999999999999996: 
DB13997: 0.21999999999999997: 
DB00967: 0.08999999999999997: 
DB11279: 0.44999999999999996: 
DB12952: 0.10999999999999999: 
DB06700: 0.48: 
DB09084: 0.09999999999999998: 
DB09401: 0.51: 
DB13213: 0.06999999999999995: 
DB13279: 0.51: 
DB00563: 0.29000000000000004: 
DB00234: 0.51: 
DB09081: 0.6699999999999999: 
DB00706: 0.6: 
DB06201: 0.69: 
DB13218: 0.39: 
DB09324: 0.24: 
DB00367: 0.16000000000000003: 
DB01319: 0.14: 
DB06654: 0.5800000000000001: 
DB05812: 0.5700000000000001: 
DB09083: 0.52: 
DB11614: 0.09999999999999998: 
DB13872: 0.43000000000000005: 
DB04854: 0.56: 
DB06193: 0.30000000000000004: 
DB15685: 0.37: 
DB15444: 0.32999999999999996: 
DB08910: 0.44999999999999996: 
DB01081: 0.12: 
DB15035: 0.38: 
DB08867: 0.43000000000000005: 
DB13216: 0.6699999999999999: 
DB15982: 0.39: 
DB00894: 0.28: 
DB13956: 0.15000000000000002: 
DB12153: 0.33999999999999997: 
DB13278: 0.39: 
DB12097: 0.6: 
DB09534: 0.30000000000000004: 
DB01175: 0.0: 
DB00902: 0.09999999999999998: 
DB13908: 0.27: 
DB06813: 0.37: 
DB06448: 0.42000000000000004: 
DB12911: 0.27: 
DB11596: 0.48: 
DB00163: 0.07999999999999996: 
DB00973: 0.49: 
DB00303: 0.32999999999999996: 
DB06802: 0.22999999999999998: 
DB01283: 0.31000000000000005: 
DB00872: 0.41000000000000003: 
DB01227: 0.47: 
DB00846: 0.08999999999999997: 
DB00218: 0.22999999999999998: 
DB00442: 0.27: 
DB04920: 0.06999999999999995: 
DB01591: 0.55: 
DB06701: 0.51: 
DB06614: 0.5700000000000001: 
DB06401: 0.43999999999999995: 
DB00660: 0.51: 
DB00605: 0.53: 
DB09120: 0.52: 
DB06774: 0.0: 
DB01095: 0.42000000000000004: 
DB00857: 0.32999999999999996: 
DB11207: 0.21999999999999997: 
DB00919: 0.36: 
DB13781: 0.55: 
DB09480: 0.31000000000000005: 
DB00788: 0.41000000000000003: 
DB01012: 0.54: 
DB13269: 0.62: 
DB12942: 0.39: 
DB01046: 0.5900000000000001: 
DB00992: 0.24: 
DB14109: 0.37: 
DB00275: 0.44999999999999996: 
DB01744: 0.21999999999999997: 
DB01265: 0.22999999999999998: 
DB09151: 0.63: 
DB08899: 0.21999999999999997: 
DB08932: 0.55: 
DB00470: 0.25: 
DB06800: 0.010000000000000009: 
DB12020: 0.56: 
DB08820: 0.5: 
DB05239: 0.5: 
DB00594: 0.63: 
DB09091: 0.10999999999999999: 
DB13256: 0.56: 
DB01100: 0.39: 
DB12867: 0.35: 
